NAME_NICKNAME,RECORD,HEIGHT,WEIGHT,REACH,STANCE,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,URL
Marcus Aurelio_Maximus,21-10-0,"5' 10""",155 lbs.,"74""",Orthodox,18-Aug-73,1.42,33%,2.27,59%,1.69,27%,27%,1.3,http://www.fightmetric.com/fighter-details/04643fd03d9159cc
Josh Bumgarner_,6/3/2000,"6' 1""",170 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/9900ab86a4c458bd
Magno Almeida_,9-3-0 (1 NC),"6' 0""",155 lbs.,--,,6-Jun-85,1.67,36%,2.6,41%,0,0%,40%,5,http://www.fightmetric.com/fighter-details/d615d6a10a4704cd
TJ O'Brien_The Spider,16-5-0,"6' 2""",155 lbs.,--,Orthodox,1-Jan-87,3.77,46%,4.78,57%,0.94,100%,0%,0,http://www.fightmetric.com/fighter-details/d25b93992f285953
Bristol Marunde_,12/9/2000,"6' 1""",170 lbs.,"71""",Orthodox,20-Apr-82,1.42,21%,4.4,47%,1.6,33%,14%,0,http://www.fightmetric.com/fighter-details/a17322f99ddfd8e9
Scott Ettling_,4/2/2000,--,135 lbs.,--,,--,0,0%,0.54,83%,8.04,100%,0%,0,http://www.fightmetric.com/fighter-details/74b5736f1df40be3
Roger Huerta_El Matador,21-5-1 (1 NC),"5' 9""",155 lbs.,"70""",Orthodox,20-May-83,3.64,36%,2.33,56%,2.13,46%,52%,0.5,http://www.fightmetric.com/fighter-details/daf1b84aebd6602b
Bibiano Fernandes_,10/3/2000,"5' 7""",139 lbs.,--,Orthodox,30-Mar-80,2.91,40%,2.02,72%,3.97,53%,77%,0.6,http://www.fightmetric.com/fighter-details/cbc071cb20ea59c7
Guilherme Costa_The Prodigy,7/1/2000,--,155 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/28877eddb1c0b967
Onassis Parungao_,2/1/2000,"5' 11""",200 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/96d173b7f92aa520
Jonny Carson_,9/5/2000,"5' 10""",155 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/0d49ddc07bd8c747
Chris Dempsey_,11/4/2000,"5' 10""",185 lbs.,"72""",Orthodox,8-Sep-87,2.25,32%,2.82,65%,2.64,23%,16%,0,http://www.fightmetric.com/fighter-details/dfae5da5676e4194
Rob Emerson_The Saint,11-10-0 (1 NC),"5' 9""",155 lbs.,"70""",Orthodox,30-Jul-81,2.5,30%,2.83,64%,2.02,52%,65%,0.4,http://www.fightmetric.com/fighter-details/dc0f07928009a127
Logan Nail_,1/1/2000,--,185 lbs.,--,,20-Jun-89,1.93,51%,2.27,39%,0,0%,37%,0,http://www.fightmetric.com/fighter-details/47e0b5833e6bc91a
John Yoo_,0-1-0,--,135 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/40eb2aef4d5577d4
Bobby Escalante_,3/3/2000,--,130 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/f7ede18b4ec4ec1f
Jeri Sitzes_,3/1/2000,"5' 5""",125 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/44a1dd0ef4373edc
Alfonso Alcarez_,1/3/2001,"5' 3""",145 lbs.,--,,10-Jun-70,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/1e38bba6738b7b10
Shamil Abdurakhimov_Abrek,18-4-0,"6' 3""",235 lbs.,"76""",Orthodox,2-Sep-81,2.53,45%,2.53,58%,1.36,22%,77%,0.3,http://www.fightmetric.com/fighter-details/2f5cbecbbe18bac4
Drew Dimanlig_,3/3/2000,--,185 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/cc2ad11b1f9d818b
Stipe Miocic_,17-2-0,"6' 4""",240 lbs.,"80""",Orthodox,19-Aug-82,5.15,50%,3.3,61%,2.1,35%,72%,0,http://www.fightmetric.com/fighter-details/d28dee5c705991df
