Date,Adj Close,Open,High,Low,Range,Volume,Unemp Claims,Ret Sales,Ind Prod,NFP,Direction
12/12/2011,1219.660034,1255.050049,1255.050049,1209.469971,45.580078,21176570000,368000,349798,98.6923,132930,U
12/19/2011,1265.329956,1219.73999,1265.420044,1202.369995,63.050049,16400510000,368000,349798,98.6923,132930,D
12/26/2011,1257.599976,1265.02002,1269.369995,1248.640015,20.72998,9030550000,386000,349798,98.6923,132930,U
1/2/2012,1277.810059,1258.859985,1284.619995,1258.859985,25.76001,15509070000,376000,352643,99.3264,133288,U
1/9/2012,1289.089966,1277.829956,1296.819946,1274.550049,22.269897,19273940000,391000,352643,99.3264,133288,U
1/16/2012,1315.380005,1290.219971,1315.48999,1290.219971,25.270019,16485160000,367000,352643,99.3264,133288,U
1/23/2012,1316.329956,1315.290039,1333.469971,1306.060059,27.409912,20404830000,381000,352643,99.3264,133288,U
1/30/2012,1344.900024,1316.160034,1345.339966,1300.48999,44.849976,21128390000,372000,352643,99.3264,133288,D
2/6/2012,1342.640015,1344.319946,1354.319946,1335.920044,18.399902,19306360000,368000,357047,99.6217,133525,U
2/13/2012,1361.22998,1343.060059,1363.400024,1340.800049,22.599975,19414420000,361000,357047,99.6217,133525,U
2/20/2012,1365.73999,1361.219971,1368.920044,1352.280029,16.640015,14720720000,359000,357047,99.6217,133525,U
2/27/2012,1369.630005,1365.199951,1378.040039,1354.920044,23.119995,18913110000,365000,357047,99.6217,133525,U
3/5/2012,1370.869995,1369.589966,1374.76001,1340.030029,34.729981,18383450000,375000,358917,99.0674,133758,U
3/12/2012,1404.170044,1370.780029,1405.880005,1366.689941,39.190064,21406220000,369000,358917,99.0674,133758,D
3/19/2012,1397.109985,1404.170044,1414,1386.869995,27.130005,18414980000,368000,358917,99.0674,133758,U
3/26/2012,1408.469971,1397.109985,1419.150024,1391.560059,27.589965,18492280000,363000,358917,99.0674,133758,D
4/2/2012,1398.079956,1408.469971,1422.380005,1392.920044,29.459961,14636130000,358000,356669,99.8626,133836,D
4/9/2012,1370.26001,1397.449951,1397.449951,1357.380005,40.069946,19093190000,387000,356669,99.8626,133836,U
4/16/2012,1378.530029,1370.27002,1392.76001,1365.380005,27.380005,18507460000,381000,356669,99.8626,133836,U
4/23/2012,1403.359985,1378.530029,1406.640015,1358.790039,47.849976,18950920000,387000,356669,99.8626,133836,D
4/30/2012,1369.099976,1403.26001,1415.319946,1367.959961,47.359985,19165870000,372000,356669,99.8626,133836,D
5/7/2012,1353.390015,1368.790039,1373.910034,1343.130005,30.780029,19706660000,373000,356057,100.0384,133951,D
5/14/2012,1295.219971,1351.930054,1351.930054,1291.97998,59.950074,21259330000,369000,356057,100.0384,133951,U
5/21/2012,1317.819946,1295.72998,1328.48999,1295.72998,32.76001,18829090000,371000,356057,100.0384,133951,D
5/28/2012,1278.040039,1318.900024,1334.930054,1277.25,57.680054,16202900000,381000,356057,100.0384,133951,U
6/4/2012,1325.660034,1278.290039,1329.050049,1266.73999,62.310059,19438880000,377000,352240,100.0677,134027,U
6/11/2012,1342.839966,1325.719971,1343.319946,1306.619995,36.699951,18576250000,383000,352240,100.0677,134027,D
6/18/2012,1335.02002,1342.420044,1363.459961,1324.410034,39.049927,20136440000,384000,352240,100.0677,134027,U
6/25/2012,1362.160034,1334.900024,1362.170044,1309.27002,52.900024,18761520000,380000,352240,100.0677,134027,D
7/2/2012,1354.680054,1362.329956,1374.810059,1348.030029,26.78003,11204700000,372000,353671,100.304,134170,U
7/9/2012,1356.780029,1354.660034,1361.540039,1325.410034,36.130005,16669120000,360000,353671,100.304,134170,U
7/16/2012,1362.660034,1356.5,1380.390015,1345.069946,35.320069,18040410000,390000,353671,100.304,134170,U
7/23/2012,1385.969971,1362.339966,1389.189941,1329.23999,59.949951,20155950000,368000,353671,100.304,134170,U
7/30/2012,1390.98999,1385.939941,1394.160034,1354.650024,39.51001,19419460000,372000,353671,100.304,134170,U
8/6/2012,1405.869995,1391.040039,1407.140015,1391.040039,16.099976,15913920000,371000,358149,99.9132,134347,U
