Date,Open,High,Low,Close,Volume,Range,MA21,MA50,Engulf,Direction
3/12/2004,1106.780029,1120.630005,1106.780029,1120.569946,1388500000,13.849976,1143.730945,1137.8578,0,D
3/15/2004,1120.569946,1120.569946,1103.359985,1104.48999,1600600000,17.209961,1141.463327,1137.709199,0,U
3/16/2004,1104.48999,1113.76001,1102.609985,1110.699951,1500700000,11.150025,1139.791417,1137.753599,0,U
3/17/2004,1110.699951,1125.76001,1110.699951,1123.75,1490100000,15.060059,1138.20856,1137.784199,0,D
3/18/2004,1123.75,1125.5,1113.25,1122.319946,1369200000,12.25,1136.803798,1137.757197,0,D
3/19/2004,1122.319946,1122.719971,1109.689941,1109.780029,1457400000,13.03003,1135.028559,1137.426199,0,D
3/22/2004,1109.780029,1109.780029,1089.540039,1095.400024,1452300000,20.23999,1132.709037,1136.695798,0,D
3/23/2004,1095.400024,1101.52002,1091.569946,1093.949951,1458200000,9.950074,1130.469035,1136.137598,0,D
3/24/2004,1093.949951,1098.319946,1087.160034,1091.329956,1527800000,11.159912,1128.194749,1135.419597,0,U
3/25/2004,1091.329956,1110.380005,1091.329956,1109.189941,1471700000,19.050049,1126.552839,1135.178997,0,D
3/26/2004,1109.189941,1115.27002,1106.130005,1108.060059,1319100000,9.140015,1124.798078,1134.729797,0,U
3/29/2004,1108.060059,1124.369995,1108.060059,1122.469971,1405500000,16.309936,1123.72808,1134.538196,0,U
3/30/2004,1122.469971,1127.599976,1119.660034,1127,1332400000,7.939942,1122.348557,1134.281597,0,D
3/31/2004,1127,1130.829956,1121.459961,1126.209961,1560700000,9.369995,1121.258556,1134.030395,0,U
4/1/2004,1126.209961,1135.670044,1126.199951,1132.170044,1560700000,9.470093,1120.360462,1133.721396,0,U
4/2/2004,1132.170044,1144.810059,1132.170044,1141.810059,1629200000,12.640015,1119.73856,1133.678799,0,U
4/5/2004,1141.810059,1150.569946,1141.640015,1150.569946,1413700000,8.929931,1119.439035,1133.859197,0,D
4/6/2004,1150.569946,1150.569946,1143.300049,1148.160034,1397700000,7.269897,1119.484753,1133.714998,0,D
4/7/2004,1148.160034,1148.160034,1138.410034,1140.530029,1458800000,9.75,1119.482375,1133.644597,0,D
4/8/2004,1140.530029,1148.969971,1134.52002,1139.319946,1199800000,14.449951,1120.217134,1133.861396,1,U
4/12/2004,1139.319946,1147.290039,1139.319946,1145.199951,1102400000,7.970093,1122.046654,1134.083196,0,D
4/13/2004,1145.199951,1147.780029,1127.699951,1129.439941,1423200000,20.080078,1122.469035,1134.049394,1,D
4/14/2004,1129.439941,1132.52002,1122.150024,1128.170044,1547700000,10.369996,1123.596656,1133.907595,0,U
4/15/2004,1128.170044,1134.079956,1120.75,1128.839966,1568700000,13.329956,1124.460467,1133.763794,1,U
4/16/2004,1128.839966,1136.800049,1126.900024,1134.609985,1487800000,9.900025,1124.977609,1133.925593,0,U
4/19/2004,1134.560059,1136.180054,1129.839966,1135.819946,1194900000,6.340088,1125.620466,1134.070193,0,D
4/20/2004,1135.819946,1139.26001,1118.089966,1118.150024,1508500000,21.170044,1126.019037,1133.577993,1,U
4/21/2004,1118.150024,1125.719971,1116.030029,1124.089966,1738100000,9.689942,1127.385225,1133.263591,0,U
4/22/2004,1124.089966,1142.77002,1121.949951,1139.930054,1826700000,20.820069,1129.574753,1133.151392,0,U
4/23/2004,1139.930054,1141.920044,1134.810059,1140.599976,1396100000,7.109985,1131.920945,1132.808191,0,D
4/26/2004,1140.599976,1145.079956,1132.910034,1135.530029,1290600000,12.169922,1133.175235,1132.476592,1,U
4/27/2004,1135.530029,1146.560059,1135.530029,1138.109985,1518000000,11.03003,1134.606184,1132.32259,0,D
4/28/2004,1138.109985,1138.109985,1121.699951,1122.410034,1855600000,16.410034,1134.60333,1131.630991,0,D
4/29/2004,1122.410034,1128.800049,1108.040039,1113.890015,1859000000,20.76001,1133.979045,1130.872393,0,D
4/30/2004,1113.890015,1119.26001,1107.22998,1107.300049,1634700000,12.03003,1133.078573,1130.077192,0,U
5/3/2004,1107.300049,1118.719971,1107.300049,1117.48999,1571600000,11.419922,1132.379522,1129.544792,0,U
5/4/2004,1117.48999,1127.73999,1112.890015,1119.550049,1662100000,14.849975,1131.319522,1129.115994,0,U
